repetition,iteration,time,speed,steering,obstacle_North,obstacle_NorthWest,obstacle_SouthWest,obstacle_West,obstacle_distance,follow_enable,steady_motion_enable,passing_start,accel_x,accel_y,accel_z,accel_diff,success,action
1,1,1675392441.8591485,0.0,0.0,False,False,False,False,100000,False,True,False,0.07976834795721721,-4.7972765338879676e-15,9.819078128636574,0.005294499837633186,True,Cruise
1,2,1675392441.8593593,0.0,0.0,False,False,False,False,100000,False,True,False,0.07976834795721721,-4.7972765338879676e-15,9.819078128636574,0.005294499837633186,True,Cruise
1,3,1675392441.95955,0.0,0.0,False,False,False,False,100000,False,True,False,0.07544761358279428,-9.951054293787111e-14,9.815827999570038,0.005442670053315225,True,Cruise
1,4,1675392442.0596442,0.0,0.0,False,False,False,False,100000,False,True,False,0.06634013120926369,-1.0118243924077016e-13,9.80994122680432,0.005404337763805292,True,Cruise
1,5,1675392442.1595016,49.75725656390653,0.0032365791479129036,False,False,False,False,100000,False,True,False,0.061721472467843076,-2.8392191021528796e-14,9.807350924425798,0.9867035359742803,True,Cruise
1,6,1675392442.2594743,49.75725656390653,0.0032365791479129036,False,False,False,False,100000,False,True,False,1.0390450673217124,-0.009325595515692321,9.708046289606958,1.5802715020515536,True,Cruise
1,7,1675392442.359473,49.75725656390653,0.0032365791479129036,False,False,False,False,100000,False,True,False,3.05663874960826,0.0056577794097688455,9.567831341380804,0.44242379695706774,True,Cruise
1,8,1675392442.4595885,49.75191614850538,0.0033077846865949053,False,False,False,False,100000,False,True,False,3.4845860023958606,0.0026651892945667387,9.57974362723222,0.10890413330629502,True,Cruise
1,9,1675392442.5594602,49.75191614850538,0.0033077846865949053,False,False,False,False,100000,False,True,False,3.6825955976038034,0.0018875460353023738,9.621714224705135,0.09360827953197874,True,Cruise
1,10,1675392442.659452,49.75191614850538,0.0033077846865949053,False,False,False,False,100000,False,True,False,3.8786614033450912,0.002458501536147366,9.668254932657739,0.10505342188485284,True,Cruise
1,11,1675392442.759459,49.75191614850538,0.0033077846865949053,False,False,False,False,100000,False,True,False,4.100277837296534,0.003258213199144422,9.713355921132772,0.22616052373816925,True,Cruise
1,12,1675392442.8594775,49.75363370403769,0.003284883946164094,False,False,False,False,100000,False,True,False,4.397989476061319,0.004418631202546633,9.778795947195047,0.10266825021616495,True,Cruise
1,13,1675392442.9594882,49.75363370403769,0.003284883946164094,False,False,False,False,100000,False,True,False,4.473721800696656,0.004697274044181383,9.79976644641462,0.06506184591677355,True,Cruise
1,14,1675392443.0594647,49.75363370403769,0.003284883946164094,False,False,False,False,100000,False,True,False,4.583659964916396,0.005415474616603333,9.838957812594051,0.05171065369200849,True,Cruise
1,15,1675392443.15955,49.71372979809419,0.003816936025410781,False,False,False,False,100000,False,True,False,4.651796150149785,0.006367776138457273,9.886467114358306,0.04474802187088214,True,Cruise
1,16,1675392443.2595062,49.71372979809419,0.003816936025410781,False,False,False,False,100000,False,True,False,4.652101459164985,0.005109288524050396,9.898337339707211,0.011940655530756421,True,Cruise
1,17,1675392443.359468,49.71372979809419,0.003816936025410781,False,False,False,False,100000,False,True,False,4.599514469914889,0.008820352352347634,9.920187078458843,0.025903275125639127,True,Cruise
1,18,1675392443.4595535,49.71372979809419,0.003816936025410781,False,False,False,False,100000,False,True,False,4.567568814985424,0.00869920588193922,9.922760005914212,0.03740884727323445,True,Cruise
1,19,1675392443.5594652,49.766954476526124,0.0031072736463183597,False,False,False,False,100000,False,True,False,4.488344364984361,0.008609359089849012,9.921067868992239,0.04186240740852474,True,Cruise
1,20,1675392443.659477,49.766954476526124,0.0031072736463183597,False,False,False,False,100000,False,True,False,4.395618658470389,0.007220391732202374,9.910999342323311,0.0495687586617174,True,Cruise
1,21,1675392443.759449,49.766954476526124,0.0031072736463183597,False,False,False,False,100000,False,True,False,4.297235359455975,0.006229131090616271,9.893856536501488,0.05031843837621245,True,Cruise
1,22,1675392443.8594687,49.74010990940737,0.003465201207901705,False,False,False,False,100000,False,True,False,4.200130388016627,0.006716975051906319,9.871290120084291,0.04795369733319718,True,Cruise
1,23,1675392443.9595754,49.74010990940737,0.003465201207901705,False,False,False,False,100000,False,True,False,4.1100303167062835,0.0056427618208852795,9.845156130042861,0.043308606806838575,True,Cruise
1,24,1675392444.0595233,49.74010990940737,0.003465201207901705,False,False,False,False,100000,False,True,False,3.99711763595547,0.00773990202945383,9.803446987751101,0.043308606806838575,True,Cruise
1,25,1675392444.159525,49.80834561394789,0.002555391814028104,False,False,False,False,100000,False,True,False,3.9404404702904117,0.00736542050060294,9.776596987131066,0.033262803592176954,True,Cruise
1,26,1675392444.2594748,49.80834561394789,0.002555391814028104,False,False,False,False,100000,False,True,False,3.918147191988078,0.007321127750427581,9.764057163530056,0.021836736218949424,True,Cruise
1,27,1675392444.3594408,49.80834561394789,0.002555391814028104,False,False,False,False,100000,False,True,False,3.8857045522462275,0.0051477246125492745,9.741559360757854,0.01427076917198624,True,Cruise
1,28,1675392444.4595351,49.82456683398487,0.002339108880201745,False,False,False,False,100000,False,True,False,3.8687499132850562,0.0034067925453428387,9.723334811343914,0.010796610630470941,True,Cruise
1,29,1675392444.559491,49.82456683398487,0.002339108880201745,False,False,False,False,100000,False,True,False,3.8657600889631607,0.004789738198373507,9.710048016120002,0.010796610630470941,True,Cruise
1,30,1675392444.659457,49.82456683398487,0.002339108880201745,False,False,False,False,100000,False,True,False,3.8827890029198078,0.0032373501994499517,9.699897017563961,0.008400562557832104,True,Cruise
