repetition,iteration,time,speed,steering,obstacle_North,obstacle_NorthWest,obstacle_SouthWest,obstacle_West,obstacle_distance,follow_enable,steady_motion_enable,passing_start,accel_x,accel_y,accel_z,accel_diff,success,action
1,1,1675402211.9827406,0.0,0.0,False,False,False,False,100000,False,False,False,0.043824534306284676,1.181958787206071e-13,9.809770051987707,7.555703468157559e-05,True,
1,2,1675402211.9835868,0.0,0.0,False,False,False,False,100000,False,False,False,0.043824534306284676,1.181958787206071e-13,9.809770051987707,7.555703468157559e-05,True,
1,3,1675402212.0840547,0.0,0.0,False,False,False,False,100000,False,True,False,0.043824534306284676,1.181958787206071e-13,9.809770051987707,7.555703468157559e-05,True,
1,4,1675402212.1836648,49.84748255623481,0.0020335659168692214,False,False,False,False,100000,False,True,False,0.04388170083996374,3.533745069692123e-13,9.809817257181917,7.413732483252276e-05,True,Cruise
1,5,1675402212.283701,49.84748255623481,0.0020335659168692214,False,False,False,False,100000,False,True,False,0.04393777817910017,-1.3819158396730678e-13,9.809861990841286,7.1734010379603e-05,True,Cruise
1,6,1675402212.3837633,49.782853392426894,0.002895288100974707,False,False,False,False,100000,False,True,False,0.04393777817910017,-1.3819158396730678e-13,9.809861990841286,7.1734010379603e-05,True,Cruise
1,7,1675402212.483872,49.782853392426894,0.002895288100974707,False,False,False,False,100000,False,True,False,0.04393777817910017,-1.3819158396730678e-13,9.809861990841286,7.1734010379603e-05,True,Cruise
1,8,1675402212.5836287,49.782853392426894,0.002895288100974707,False,False,False,False,100000,False,True,False,1.0303470959861916,-0.006161341798214771,9.715029485344283,7.1734010379603e-05,True,Cruise
1,9,1675402212.6841147,49.782853392426894,0.002895288100974707,False,False,False,False,100000,False,True,False,1.938788981361193,0.002475209338224009,9.643271133295094,0.990976542854695,True,Cruise
1,10,1675402212.783603,49.75810586154108,0.00322525517945219,False,False,False,False,100000,False,True,False,1.938788981361193,0.002475209338224009,9.643271133295094,0.9113125206031325,True,Cruise
1,11,1675402212.8840733,49.75810586154108,0.00322525517945219,False,False,False,False,100000,False,True,False,1.938788981361193,0.002475209338224009,9.643271133295094,0.677026296971334,True,Cruise
1,12,1675402212.9844651,49.75810586154108,0.00322525517945219,False,False,False,False,100000,False,True,False,3.060051202036794,0.004613696195540811,9.579426871335198,0.677026296971334,True,Cruise
1,13,1675402213.0844033,49.75810586154108,0.00322525517945219,False,False,False,False,100000,False,True,False,3.331406622119875,0.004284986664257865,9.579943799239004,0.4461368302359095,True,Cruise
1,14,1675402213.1934123,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.331406622119875,0.004284986664257865,9.579943799239004,0.2713561115451042,True,Cruise
1,15,1675402213.2843914,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.331406622119875,0.004284986664257865,9.579943799239004,0.16361419511046038,True,Cruise
1,16,1675402213.3835545,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.331406622119875,0.004284986664257865,9.579943799239004,0.16361419511046038,True,Cruise
1,17,1675402213.4838202,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.4944805489481934,0.0022391975061254077,9.593070641096684,0.16361419511046038,True,Cruise
1,18,1675402213.5837746,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.6974133458738327,0.006190851113919568,9.635790297122117,0.0959228622531783,True,Cruise
1,19,1675402213.6905003,49.84471293340454,0.0020704942212727857,False,False,False,False,100000,False,True,False,3.6974133458738327,0.006190851113919568,9.635790297122117,0.0959228622531783,True,Cruise
1,20,1675402213.7842598,49.78983043463211,0.002802260871571851,False,False,False,False,100000,False,True,False,3.6974133458738327,0.006190851113919568,9.635790297122117,0.0959228622531783,True,Cruise
1,21,1675402213.8837945,49.78983043463211,0.002802260871571851,False,False,False,False,100000,False,True,False,3.8967832892295964,-0.00019385716300759692,9.68220937172678,0.2048020246496969,True,Cruise
1,22,1675402213.9843073,49.78983043463211,0.002802260871571851,False,False,False,False,100000,False,True,False,4.007547438500119,0.00025073053963132086,9.70460715258421,0.11300688036215022,True,Cruise
1,23,1675402214.083728,49.728628672872205,0.003618284361703921,False,False,False,False,100000,False,True,False,4.120128295706377,-0.0010300884716578729,9.726456794909671,0.1146886950679369,True,Cruise
1,24,1675402214.1840022,49.728628672872205,0.003618284361703921,False,False,False,False,100000,False,True,False,4.120128295706377,-0.0010300884716578729,9.726456794909671,0.1146886950679369,True,Cruise
1,25,1675402214.2851193,49.728628672872205,0.003618284361703921,False,False,False,False,100000,False,True,False,4.228905502992189,0.00303099529465917,9.747890317141826,0.11094308947173728,True,Cruise
1,26,1675402214.3838747,49.728628672872205,0.003618284361703921,False,False,False,False,100000,False,True,False,4.32919099759583,0.002029237772587466,9.768958188503452,0.10247945720845633,True,Cruise
1,27,1675402214.4842668,49.728628672872205,0.003618284361703921,False,False,False,False,100000,False,True,False,4.32919099759583,0.002029237772587466,9.768958188503452,0.10247945720845633,True,Cruise
1,28,1675402214.584457,49.82519507324951,0.0023307323566731835,False,False,False,False,100000,False,True,False,4.417771472516739,0.00597571010347977,9.78958766857647,0.09103653458450257,True,Cruise
1,29,1675402214.6835756,49.82519507324951,0.0023307323566731835,False,False,False,False,100000,False,True,False,4.553846088784011,0.006660047209544428,9.828725318022311,0.07772456863331263,True,Cruise
1,30,1675402214.7840538,49.640185135849734,0.0047975315220035245,False,False,False,False,100000,False,True,False,4.553846088784011,0.006660047209544428,9.828725318022311,0.06390500143066703,True,Cruise
