trial_num,iteration,accel_x,accel_y,accel_z,accel_diff,action,change_lane_finished,curr_time,curr_lane,lane_rho_l,lane_theta_l,lane_rho_r,lane_theta_r,follow_enable,free_east,free_north,free_north_east,free_north_west,free_south_east,free_south_west,free_west,distance_to_north,pass_finished,sdc_curr_pos.x,sdc_curr_pos.y,sdc_curr_pos.theta,speed,start_change_lane_on_left,start_change_lane_on_right,steering,success,goal_reached,car_1_pose.x,car_1_pose.y,car_2_pose.x,car_2_pose.y,car_3_pose.x,car_3_pose.y,car_4_pose.x,car_4_pose.y,car_5_pose.x,car_5_pose.y,car_6_pose.x,car_6_pose.y,car_7_pose.x,car_7_pose.y,car_8_pose.x,car_8_pose.y,car_9_pose.x,car_9_pose.y,car_10_pose.x,car_10_pose.y
1,1,0.03885382185729255,7.832739330501864e-14,9.804790970388696,0.0003148961358461972,Cruise 16,False,0.2,True,406.34197790834554,2.313552692042681,391.468548032546,0.7853981633974483,False,False,True,True,True,True,True,True,0.0,False,10.283092901149073,-1.810000000000009,1.0120108216831128e-14,0.0,False,False,0.0,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,2,2.6104931339410644,0.07493901666756786,9.595438040116914,0.44636301281940405,Change lane 15,False,0.31,True,404.5580846846593,2.3131236980250547,391.8734798715259,0.7853981633974482,False,False,False,True,True,True,True,True,25.27008331304946,False,10.285532614210148,-1.8099047408353046,-5.8067967621827165e-05,26.453163090218855,True,False,0.03682945023288439,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,3,4.307395890833696,0.21819098768669543,9.771971530038968,0.10765828707414964,Change lane 15,False,0.42,True,398.0813752885612,2.299039303861529,387.4748080470933,0.7825079224159751,False,False,False,True,True,True,True,True,25.27008331304946,False,10.32470507085743,-1.809505799147771,0.0002224726783317484,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,4,4.5214162800336855,0.30031105364344146,9.924625380167408,0.036119241209493634,Change lane 15,False,0.53,True,394.6845877444624,2.3146867966851206,388.32839500349985,0.7853981633974484,False,False,False,True,True,True,True,True,25.228511409515388,False,10.402289867073382,-1.8089711952628829,0.0024425135814692437,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,5,4.091510481272513,0.3139984083057736,9.852993683193498,0.04865126373017957,Change lane 15,False,0.63,True,389.3874617182458,2.31647076296196,396.3782829932364,0.7889611758300586,False,False,False,True,True,True,True,True,25.22910010670724,False,10.533896797830549,-1.8074865628216992,0.007147828400966101,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,6,3.8143636969335963,0.3016249580863961,9.719379969043711,0.022583977822702314,Change lane 15,False,0.74,True,384.66684608432735,2.313222799194225,404.4647034675511,0.8037560406785857,False,False,False,True,True,True,True,True,25.22910010670724,False,10.713049605645224,-1.8043477140930646,0.014019153064172231,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,7,3.9045298567581272,0.35295726087495616,9.708019469628965,0.018477597826209752,Change lane 15,False,0.84,True,371.83752124714545,2.3293406665478944,416.96934386084604,0.8025599832881256,False,False,False,True,True,True,True,True,24.78764713792533,False,10.916795546675573,-1.7992915530044282,0.02201295410746651,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,8,4.05716042320132,0.455770027562987,9.781450220442782,0.012494145693402214,Change lane 15,False,0.95,True,358.880940807807,2.3356559186433574,428.13982414119,0.8072924150835976,False,False,False,True,True,True,True,True,24.78764713792533,False,11.186072600711697,-1.7901337779729145,0.03265167407248805,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,9,4.061169821686654,0.5446955434672343,9.806422481464454,0.009786397323330278,Change lane 15,False,1.06,True,345.4016547890334,2.3209964777213115,445.4763818556874,0.8199298857256991,False,False,False,True,True,True,True,True,24.78764713792533,False,11.502845357580519,-1.7756998889410376,0.04518552556363648,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
1,10,4.009737398569542,0.641032268488019,9.78542897406358,0.011753367819351612,Change lane 15,False,1.16,True,324.92945425334034,2.359721639447072,459.9615745301261,0.831834255577597,False,False,False,True,True,True,True,True,29.694547710665056,False,11.831944732778478,-1.756504781579494,0.058207580396937075,26.453163090218855,True,False,0.1319357010751008,True,False,37.13,-1.57,75.25,1.58987,115.83,-1.54,155.89,1.54,195.81,-1.11,235.23,2.07,275.37,-1.22,315.37,1.81,355.94,-1.31,395.88,1.43
