repetition,iteration,time,speed,steering,obstacle_North,obstacle_NorthWest,obstacle_SouthWest,obstacle_West,obstacle_distance,follow_enable,steady_motion_enable,passing_start,accel_x,accel_y,accel_z,accel_diff,success,action
1,1,1675406566.6102722,0.0,0.0,False,False,False,False,100000,False,True,False,0.0424835905935199,3.172142728395633e-13,9.813180361578546,0.00045600747831481953,True,
1,2,1675406566.6104584,0.0,0.0,False,False,False,False,100000,False,True,False,0.0424835905935199,3.172142728395633e-13,9.813180361578546,0.00045600747831481953,True,
1,3,1675406566.7121396,0.0,0.0,False,False,False,False,100000,False,True,False,0.0424835905935199,3.172142728395633e-13,9.813180361578546,0.00045600747831481953,True,
1,4,1675406566.8109448,49.71532353391363,0.0037956862144849003,False,False,False,False,100000,False,True,False,0.04277935456638433,9.117170813750179e-14,9.813451469759698,0.00040121811216896287,True,Cruise
1,5,1675406566.91137,49.684833210488335,0.004202223860155496,False,False,False,False,100000,False,True,False,0.04277935456638433,9.117170813750179e-14,9.813451469759698,0.00040121811216896287,True,Cruise
1,6,1675406567.010783,49.684833210488335,0.004202223860155496,False,False,False,False,100000,False,True,False,0.04277935456638433,9.117170813750179e-14,9.813451469759698,0.00040121811216896287,True,Cruise
1,7,1675406567.119906,49.684833210488335,0.004202223860155496,False,False,False,False,100000,False,True,False,1.938390312554042,0.0033887886256464867,9.647068672437504,0.911647513467245,True,Cruise
1,8,1675406567.2109594,49.67842233172653,0.004287702243646256,False,False,False,False,100000,False,True,False,2.6141841188473536,0.008285718960013254,9.602229831126321,0.6772974016200202,True,Cruise
1,9,1675406567.313439,49.67842233172653,0.004287702243646256,False,False,False,False,100000,False,True,False,2.6141841188473536,0.008285718960013254,9.602229831126321,0.6772974016200202,True,Cruise
1,10,1675406567.4116945,49.67842233172653,0.004287702243646256,False,False,False,False,100000,False,True,False,3.0601427687383964,0.007420408669128919,9.58303169756394,0.4463725288442606,True,Cruise
1,11,1675406567.5107517,49.67842233172653,0.004287702243646256,False,False,False,False,100000,False,True,False,3.0601427687383964,0.007420408669128919,9.58303169756394,0.4463725288442606,True,Cruise
1,12,1675406567.6106896,49.67842233172653,0.004287702243646256,False,False,False,False,100000,False,True,False,3.3317232210131724,0.005001208238503357,9.583374535350368,0.1637949018716152,True,Cruise
1,13,1675406567.7107117,49.79849908139028,0.0026866789147962167,False,False,False,False,100000,False,True,False,3.3317232210131724,0.005001208238503357,9.583374535350368,0.1637949018716152,True,Cruise
1,14,1675406567.8109617,49.79849908139028,0.0026866789147962167,False,False,False,False,100000,False,True,False,3.3317232210131724,0.005001208238503357,9.583374535350368,0.1637949018716152,True,Cruise
1,15,1675406567.911068,49.79849908139028,0.0026866789147962167,False,False,False,False,100000,False,True,False,3.4950029994382596,0.0036644763184509764,9.59628565398356,0.09595284447328324,True,Cruise
1,16,1675406568.0138376,49.79849908139028,0.0026866789147962167,False,False,False,False,100000,False,True,False,3.6982773347122024,0.0026361844063908417,9.63847909182067,0.09595284447328324,True,Cruise
1,17,1675406568.1115453,49.79849908139028,0.0026866789147962167,False,False,False,False,100000,False,True,False,3.6982773347122024,0.0026361844063908417,9.63847909182067,0.09595284447328324,True,Cruise
1,18,1675406568.212282,49.75989905926432,0.0032013458764757717,False,False,False,False,100000,False,True,False,3.6982773347122024,0.0026361844063908417,9.63847909182067,0.09595284447328324,True,Cruise
1,19,1675406568.3110142,49.75989905926432,0.0032013458764757717,False,False,False,False,100000,False,True,False,3.897890005834943,0.0007876690571392039,9.68429313051725,0.20481103882223628,True,Cruise
1,20,1675406568.4109962,49.75989905926432,0.0032013458764757717,False,False,False,False,100000,False,True,False,4.0087365765019545,-0.00040050828995318835,9.706375411737739,0.11303097424133624,True,Cruise
1,21,1675406568.5126913,49.754114045751095,0.003278479389985382,False,False,False,False,100000,False,True,False,4.0087365765019545,-0.00040050828995318835,9.706375411737739,0.11303097424133624,True,Cruise
1,22,1675406568.6107068,49.754114045751095,0.003278479389985382,False,False,False,False,100000,False,True,False,4.121373719899145,0.00047561903932052946,9.727909022187495,0.11468038215308754,True,Cruise
1,23,1675406568.711034,49.754114045751095,0.003278479389985382,False,False,False,False,100000,False,True,False,4.121373719899145,0.00047561903932052946,9.727909022187495,0.11468038215308754,True,Cruise
1,24,1675406568.8129175,49.754114045751095,0.003278479389985382,False,False,False,False,100000,False,True,False,4.230180986780668,0.000292277686992386,9.749031238142317,0.11083863472237708,True,Cruise
1,25,1675406568.9108489,49.754114045751095,0.003278479389985382,False,False,False,False,100000,False,True,False,4.330471499137889,0.0037217774861131123,9.769797537595753,0.10247530205242632,True,Cruise
1,26,1675406569.010747,49.72813472502223,0.003624870333036921,False,False,False,False,100000,False,True,False,4.419035459602914,0.005062117386201151,9.790138882414505,0.10247530205242632,True,Cruise
1,27,1675406569.1110344,49.72813472502223,0.003624870333036921,False,False,False,False,100000,False,True,False,4.419035459602914,0.005062117386201151,9.790138882414505,0.10247530205242632,True,Cruise
1,28,1675406569.2107766,49.72813472502223,0.003624870333036921,False,False,False,False,100000,False,True,False,4.555013376508163,0.005697529147974338,9.828755120857254,0.09087982126596394,True,Cruise
1,29,1675406569.3110266,49.72813472502223,0.003624870333036921,False,False,False,False,100000,False,True,False,4.555013376508163,0.005697529147974338,9.828755120857254,0.06377604188864044,True,Cruise
1,30,1675406569.41152,49.72813472502223,0.003624870333036921,False,False,False,False,100000,False,True,False,4.555013376508163,0.005697529147974338,9.828755120857254,0.06377604188864044,True,Cruise
